1,7.64 -0.50
1,8.55 -1.50
1,7.77 -0.50
1,8.01 -1.20
1,8.50 -0.20
1,6.88 -1.60
1,8.89 -0.12
1,7.32 -0.20
1,6.53 -1.20
1,7.20 -0.87
2,8.62 0.00
2,8.23 -0.42
2,7.79 -0.21
2,9.11 -0.05
2,9.12 0.00
2,8.73 0.00
2,8.58 -0.20
2,8.00 -0.21
2,9.96 -0.50
2,9.73 -0.60
3,13.58 4.87
3,11.23 4.66
3,12.53 4.53
3,12.97 3.21
3,12.68 3.11
3,10.68 4.53
3,11.03 4.00
3,12.99 4.11
3,9.98 2.34
3,11.29 5.03
4,11.20 2.85
4,11.30 1.35
4,12.11 2.00
4,10.98 0.96
4,11.01 1.85
4,12.06 1.46
4,12.05 2.00
4,11.11 0.98
4,12.02 1.58
4,13.97 5.22
5,9.97 0.80
5,10.53 0.00
5,9.99 0.00
5,9.96 0.30
5,9.97 0.50
5,9.99 0.00
5,10.16 0.50
5,10.22 1.20
5,8.78 0.00
5,10.78 1.23
6,7.80 -0.50
6,8.89 -0.56
6,7.23 -0.50
6,6.98 -1.23
6,7.00 -1.00
6,8.98 -0.10
6,9.99 0.00
6,6.23 -1.20
6,8.00 -0.52
6,8.44 -0.22
