12/01/16,00:00,849,570
12/01/16,01:00,883,555
12/01/16,02:00,582,199
12/01/16,03:00,653,472
12/01/16,04:00,511,86
12/01/16,05:00,497,342
12/01/16,06:00,648,102
12/01/16,07:00,713,529
12/01/16,08:00,447,934
12/01/16,09:00,932,802
12/01/16,10:00,58,979
12/01/16,11:00,497,417
12/01/16,12:00,374,651
12/01/16,13:00,657,905
12/01/16,14:00,365,593
12/01/16,15:00,676,802
12/01/16,16:00,661,940
12/01/16,17:00,865,709
12/01/16,18:00,423,407
12/01/16,19:00,242,856
12/01/16,20:00,618,621
12/01/16,21:00,305,346
12/01/16,22:00,7,202
12/01/16,23:00,456,749
12/02/16,00:00,725,878
12/02/16,01:00,397,335
12/02/16,02:00,147,723
12/02/16,03:00,482,190
12/02/16,04:00,124,896
12/02/16,05:00,202,34
12/02/16,06:00,878,305
12/02/16,07:00,846,460
12/02/16,08:00,779,992
12/02/16,09:00,231,722
12/02/16,10:00,340,508
12/02/16,11:00,711,89
12/02/16,12:00,353,294
12/02/16,13:00,419,455
12/02/16,14:00,830,831
12/02/16,15:00,41,115
12/02/16,16:00,523,290
12/02/16,17:00,859,599
12/02/16,18:00,463,695
12/02/16,19:00,960,763
12/02/16,20:00,247,235
12/02/16,21:00,471,594
12/02/16,22:00,836,157
12/02/16,23:00,693,127
12/03/16,00:00,527,557
12/03/16,01:00,90,574
12/03/16,02:00,496,640
12/03/16,03:00,397,567
12/03/16,04:00,484,997
12/03/16,05:00,251,724
12/03/16,06:00,195,320
12/03/16,07:00,112,613
12/03/16,08:00,32,976
12/03/16,09:00,114,472
12/03/16,10:00,739,376
12/03/16,11:00,566,888
12/03/16,12:00,34,858
12/03/16,13:00,892,651
12/03/16,14:00,826,126
12/03/16,15:00,48,115
12/03/16,16:00,74,400
12/03/16,17:00,272,376
12/03/16,18:00,515,348
12/03/16,19:00,692,493
12/03/16,20:00,119,554
12/03/16,21:00,458,177
12/03/16,22:00,599,830
12/03/16,23:00,601,153
12/04/16,00:00,537,260
12/04/16,01:00,674,484
12/04/16,02:00,30,207
12/04/16,03:00,369,303
12/04/16,04:00,827,673
12/04/16,05:00,936,818
12/04/16,06:00,855,187
12/04/16,07:00,765,391
12/04/16,08:00,917,221
12/04/16,09:00,691,651
12/04/16,10:00,368,823
12/04/16,11:00,807,230
12/04/16,12:00,297,593
12/04/16,13:00,618,859
12/04/16,14:00,282,848
12/04/16,15:00,186,256
12/04/16,16:00,675,645
12/04/16,17:00,349,225
12/04/16,18:00,299,408
12/04/16,19:00,474,488
12/04/16,20:00,459,786
12/04/16,21:00,96,889
12/04/16,22:00,95,258
12/04/16,23:00,710,170
12/05/16,00:00,956,720
12/05/16,01:00,76,817
12/05/16,02:00,26,80
12/05/16,03:00,641,541
12/05/16,04:00,354,837
12/05/16,05:00,496,715
12/05/16,06:00,161,157
12/05/16,07:00,285,788
12/05/16,08:00,979,283
12/05/16,09:00,224,863
12/05/16,10:00,564,204
12/05/16,11:00,526,253
12/05/16,12:00,539,959
12/05/16,13:00,23,396
12/05/16,14:00,544,327
12/05/16,15:00,556,839
12/05/16,16:00,340,165
12/05/16,17:00,923,234
12/05/16,18:00,471,287
12/05/16,19:00,609,699
12/05/16,20:00,756,102
12/05/16,21:00,479,219
12/05/16,22:00,659,199
12/05/16,23:00,563,179
12/06/16,00:00,49,673
12/06/16,01:00,704,1000
12/06/16,02:00,732,838
12/06/16,03:00,231,438
12/06/16,04:00,241,586
12/06/16,05:00,729,786
12/06/16,06:00,31,352
12/06/16,07:00,383,88
12/06/16,08:00,952,389
12/06/16,09:00,667,4
12/06/16,10:00,959,672
12/06/16,11:00,290,477
12/06/16,12:00,853,570
12/06/16,13:00,929,986
12/06/16,14:00,661,173
12/06/16,15:00,71,63
12/06/16,16:00,884,161
12/06/16,17:00,336,166
12/06/16,18:00,602,841
12/06/16,19:00,255,432
12/06/16,20:00,329,907
12/06/16,21:00,536,88
12/06/16,22:00,604,842
12/06/16,23:00,266,137
12/07/16,00:00,988,103
12/07/16,01:00,44,619
12/07/16,02:00,324,987
12/07/16,03:00,696,539
12/07/16,04:00,345,585
12/07/16,05:00,492,232
12/07/16,06:00,517,256
12/07/16,07:00,63,770
12/07/16,08:00,532,870
12/07/16,09:00,308,57
12/07/16,10:00,676,539
12/07/16,11:00,839,664
12/07/16,12:00,369,305
12/07/16,13:00,607,21
12/07/16,14:00,680,889
12/07/16,15:00,389,110
12/07/16,16:00,624,809
12/07/16,17:00,946,978
12/07/16,18:00,97,660
12/07/16,19:00,919,626
12/07/16,20:00,859,148
12/07/16,21:00,894,794
12/07/16,22:00,324,50
12/07/16,23:00,363,688
12/08/16,00:00,720,132
12/08/16,01:00,423,600
12/08/16,02:00,832,658
12/08/16,03:00,30,765
12/08/16,04:00,190,942
12/08/16,05:00,657,851
12/08/16,06:00,287,641
12/08/16,07:00,525,410
12/08/16,08:00,114,281
12/08/16,09:00,139,865
12/08/16,10:00,216,803
12/08/16,11:00,541,850
12/08/16,12:00,697,838
12/08/16,13:00,787,838
12/08/16,14:00,178,167
12/08/16,15:00,977,479
12/08/16,16:00,779,125
12/08/16,17:00,599,726
12/08/16,18:00,854,784
12/08/16,19:00,564,874
12/08/16,20:00,401,188
12/08/16,21:00,712,963
12/08/16,22:00,966,18
12/08/16,23:00,924,134
12/09/16,00:00,785,906
12/09/16,01:00,770,791
